Paper,Reference / DOI,MOF,MOF Family,Metal,Linker,Radiation Type,Particle Type,Source,Radiation Energy,Dose,Dose Rate,Irradiation Environment,XRD Crystallinity Retention*,FTIR Bond Loss?,XPS Used?,Raman Used?,FESEM Used?,TEM Used?,BET Before (m2/g),BET After (m2/g),BET Loss (%),Defect Type*,Stability Score (1-5)*,Stability,XRD - what it found,FTIR - what it found,XPS - what it found,Raman - what it found,FESEM - what it found,TEM - what it found,Main Findings / Degradation Mechanism
"Ma et al. 2022, Langmuir",10.1021/acs.langmuir.2c01074,MIL-100(Fe),MIL,Fe,Trimesate (BTC),Gamma,Photon (gamma),60Co,-,0-5 MGy,"0.65 kGy/h (initial, decay-corrected)",Air,Full,No,No,No,Yes,No,1574,1507,4.3,None detected,5,Excellent,Pattern and fwhm essentially unchanged up to 5 MGy - crystallinity fully retained,"No obvious change in spectrum (1625, 1445, 1382 cm-1 bands intact)",Not used in this study,Not used in this study,"Rod-like particles, inhomogeneous size; no change in shape/size/morphology at any dose to 5 MGy",Not used in this study,"XRD, FTIR and SEM agree: no structural, chemical or morphological damage up to 5 MGy; TGA confirms retained thermal stability; most radiation-tolerant of the four MOFs tested"
"Ma et al. 2022, Langmuir",10.1021/acs.langmuir.2c01074,MIL-100(Cr),MIL,Cr,Trimesate (BTC),Gamma,Photon (gamma),60Co,-,0-5 MGy,0.65 kGy/h,Air,Full,No,No,No,Yes,No,1862,1510,18.9,Minor crystal-size decrease,5,Excellent,fwhm shows only small fluctuation to 5 MGy - crystallinity essentially retained,No obvious changes to 5 MGy,Not used in this study,Not used in this study,Irregular-sphere morphology unchanged; crystal size decreased slightly at 4-5 MGy,Not used in this study,Good chemical/crystallographic retention despite steady ~4%/MGy BET decline; TGA confirms good thermal stability after 5 MGy
"Ma et al. 2022, Langmuir",10.1021/acs.langmuir.2c01074,MIL-101(Cr),MIL,Cr,Terephthalate (BDC),Gamma,Photon (gamma),60Co,-,"0-5 MGy (stable to 4, degrading by 5)",0.65 kGy/h,Air,Partial,Not reported,No,No,Yes,No,2203,1762,20,Framework decomposition onset (5 MGy),4,"Good to 4 MGy, degrades at 5 MGy","fwhm unchanged to 4 MGy; broadens visibly at 5 MGy, signalling decomposition onset",Trend consistent with XRD,Not used in this study,Not used in this study,Morphology/size unaffected up to 4 MGy,Not used in this study,30% micropore-volume loss + lowered TGA decomposition temperature confirm genuine decomposition only between 4 and 5 MGy
"Ma et al. 2022, Langmuir",10.1021/acs.langmuir.2c01074,AlFu (Al-fumarate),Other (Al-fumarate),Al,Fumarate,Gamma,Photon (gamma),60Co,-,Decomposes from 1 MGy; pore structure gone by 2 MGy,0.65 kGy/h,Air,Low,Yes,No,No,No,No,1070,63,94.1,Linker/cluster bond breakage; amorphization,1,Poor - lowest of the four,Crystallinity degenerates from 1 MGy; pore-structure diffraction features gone by 2 MGy,Loses C=C (1600 cm-1) and Al-cluster O-H bending (998 cm-1) bands after 1 MGy,Not used in this study,Not used in this study,Not reported,Not used in this study,"FTIR bond loss + XRD amorphization + 94% BET collapse converge: rapid, early linker radiolysis destroys crystallinity and porosity"
"Hanna et al., OSTI report",OSTI ID 1615770 (DOI not stated),NU-1000,NU,Zr6 node,"H4TBAPy (pyrene-based, 8-connected)",Gamma,Photon (gamma),60Co,-,~9997 Gy (acute) / ~3370 Gy (chronic),423.3 Gy/min (acute); 0.78 Gy/min (chronic),Not specified,Full,Not reported,No,No,Yes,No,2160,2005,7.2,None detected,5,Highly stable at both dose rates,No apparent change at either dose rate - full crystallinity retained,Not used in this study,Not used in this study,Not used in this study,Crystal size/morphology uniform and unchanged under both dose rates,Not used in this study,"Essentially insensitive to dose rate; attributed to high linker connectivity, low node density (0.15 g/cm3) and low node connectivity"
"Hanna et al., OSTI report",OSTI ID 1615770 (DOI not stated),UiO-66,UiO,Zr6 node,"BDC (ditopic, 12-connected)",Gamma,Photon (gamma),60Co,-,~9997 Gy (acute) / ~3370 Gy (chronic),423.3 Gy/min (acute); 0.78 Gy/min (chronic),Not specified,Partial (chronic only),Not reported,No,No,Yes,No,1320,960,27.3,Surface roughening (chronic dose rate only),3,Sensitive to dose rate,Peak at 12 deg loses intensity; first two peaks broaden ONLY after chronic dosing; acute leaves pattern intact,Not used in this study,Not used in this study,Not used in this study,"Uniform under both rates, but visible crystallite-surface roughening after chronic dosing only",Not used in this study,"Dose-RATE sensitive, not just dose-sensitive: same total dose delivered slowly causes far more damage than delivered quickly"
"Volkringer et al. 2016, Chem. Commun.",10.1039/C6CC06878B,ZIF-8,ZIF,Zn,2-methylimidazolate,Gamma,Photon (gamma),Multiple 60Co sources,-,0-1.75 MGy,2-5 kGy/h,Not specified,Low,Yes (via NMR),No,No,No,No,1328,598,55,Amorphization; bond breaking,1,Poor - least stable in survey,Bragg peaks broaden/lose intensity above 1.25 MGy - loss of long-range order,13C/15N NMR used instead: resonances shift/largely disappear by 1.75 MGy,Not used in this study,Not used in this study,Not reported,Not used in this study,XRD broadening + NMR resonance loss + largest BET collapse (55%) identify ZIF-8 as least radiolytically robust MOF tested
"Volkringer et al. 2016, Chem. Commun.",10.1039/C6CC06878B,MIL-53(Al),MIL,Al,Terephthalate (BDC),Gamma,Photon (gamma),60Co,-,Up to 1.75 MGy,2-5 kGy/h,Not specified,Full,No,No,No,No,No,,,NR,None detected,4,Good,No obvious modification of the 'breathing' pore-swelling behaviour at any dose,No major distortion,Not used in this study,Not used in this study,Not used in this study,Not used in this study,"Al-carboxylate MOFs (MIL-53/100/120) outperform ZIF-8/UiO-66/HKUST-1, attributed to strong, hard-Lewis-acid Al(III)-carboxylate bond"
"Volkringer et al. 2016, Chem. Commun.",10.1039/C6CC06878B,MIL-100(Al),MIL,Al,Trimesate (BTC),Gamma,Photon (gamma),60Co,-,Up to 2 MGy,2-5 kGy/h,Not specified,Full,No,No,No,No,No,858,1959,-128.3,Pore-blockage removal (porosity increase),5,Very good - radiation 'self-cleaning',No collapse of diffraction pattern detected up to 2 MGy,No major changes,Not used in this study,Not used in this study,Not used in this study,Not used in this study,"Gamma radiolysis removes extra-framework unreacted linker trapped in pores, raising measured BET rather than lowering it"
"Volkringer et al. 2016, Chem. Commun.",10.1039/C6CC06878B,MIL-120(Al),MIL,Al,Pyromellitate,Gamma,Photon (gamma),60Co,-,Up to 1.75 MGy,2-5 kGy/h,Not specified,Full,No,No,No,No,No,,215,NR,Minor pore-volume loss,4,Good,No significant structural distortion detected,No significant change,Not used in this study,Not used in this study,Not used in this study,Not used in this study,Only 11% pore-volume loss at highest dose tested; one of the more stable Al-MOFs
